solver,N,z_mm,r_mm,phi
Thomas,16,16.47058823529412,8.235294117647062,230.43887052147343
Thomas,16,16.47058823529412,9.411764705882355,213.41096337444398
Thomas,16,16.47058823529412,10.58823529411765,194.5587632428126
Thomas,16,16.47058823529412,11.764705882352944,174.04357652731497
Thomas,16,16.47058823529412,12.941176470588239,152.04087129519067
Thomas,16,16.47058823529412,14.117647058823533,128.73878461310642
Thomas,16,16.47058823529412,15.294117647058828,104.33652016584641
Thomas,16,16.47058823529412,16.470588235294123,79.04265279290884
Thomas,16,16.47058823529412,17.64705882352942,53.07335138282408
Thomas,16,16.47058823529412,18.82352941176471,26.65053862322468
Thomas,16,18.823529411764707,1.1764705882352944,297.4950739614899
Thomas,16,18.823529411764707,2.3529411764705888,293.7235623905083
Thomas,16,18.823529411764707,3.529411764705883,287.43870323385323
Thomas,16,18.823529411764707,4.7058823529411775,278.69486497935463
Thomas,16,18.823529411764707,5.882352941176472,267.5673344018717
Thomas,16,18.823529411764707,7.058823529411766,254.1516865199974
Thomas,16,18.823529411764707,8.235294117647062,238.56296993659845
Thomas,16,18.823529411764707,9.411764705882355,220.93473372050408
Thomas,16,18.823529411764707,10.58823529411765,201.41789055346666
Thomas,16,18.823529411764707,11.764705882352944,180.17943506262884
Thomas,16,18.823529411764707,12.941176470588239,157.40102189813425
Thomas,16,18.823529411764707,14.117647058823533,133.27742130853494
Thomas,16,18.823529411764707,15.294117647058828,108.01485958822558
Thomas,16,18.823529411764707,16.470588235294123,81.82926472508025
Thomas,16,18.823529411764707,17.64705882352942,54.94442596591987
Thomas,16,18.823529411764707,18.82352941176471,27.590089424697208
Thomas,16,21.176470588235297,1.1764705882352944,297.49507396148994
Thomas,16,21.176470588235297,2.3529411764705888,293.7235623905084
Thomas,16,21.176470588235297,3.529411764705883,287.43870323385335
Thomas,16,21.176470588235297,4.7058823529411775,278.69486497935475
Thomas,16,21.176470588235297,5.882352941176472,267.56733440187185
Thomas,16,21.176470588235297,7.058823529411766,254.15168651999758
Thomas,16,21.176470588235297,8.235294117647062,238.56296993659865
Thomas,16,21.176470588235297,9.411764705882355,220.93473372050428
Thomas,16,21.176470588235297,10.58823529411765,201.41789055346675
Thomas,16,21.176470588235297,11.764705882352944,180.17943506262895
Thomas,16,21.176470588235297,12.941176470588239,157.4010218981343
Thomas,16,21.176470588235297,14.117647058823533,133.277421308535
Thomas,16,21.176470588235297,15.294117647058828,108.0148595882256
Thomas,16,21.176470588235297,16.470588235294123,81.82926472508026
Thomas,16,21.176470588235297,17.64705882352942,54.944425965919876
Thomas,16,21.176470588235297,18.82352941176471,27.59008942469722
Thomas,16,23.529411764705884,1.1764705882352944,287.36414899032724
Thomas,16,23.529411764705884,2.3529411764705888,283.721021728641
Thomas,16,23.529411764705884,3.529411764705883,277.65016307325993
Thomas,16,23.529411764705884,4.7058823529411775,269.2040805834919
Thomas,16,23.529411764705884,5.882352941176472,258.45549212695647
Thomas,16,23.529411764705884,7.058823529411766,245.4967128896422
Thomas,16,23.529411764705884,8.235294117647062,230.43887052147372
Thomas,16,23.529411764705884,9.411764705882355,213.41096337444418
Thomas,16,23.529411764705884,10.58823529411765,194.5587632428128
Thomas,16,23.529411764705884,11.764705882352944,174.04357652731517
Thomas,16,23.529411764705884,12.941176470588239,152.0408712951908
Thomas,16,23.529411764705884,14.117647058823533,128.73878461310653
Thomas,16,23.529411764705884,15.294117647058828,104.3365201658465
Thomas,16,23.529411764705884,16.470588235294123,79.04265279290891
Thomas,16,23.529411764705884,17.64705882352942,53.07335138282412
Thomas,16,23.529411764705884,18.82352941176471,26.650538623224698
Thomas,16,25.882352941176475,1.1764705882352944,267.44748629627776
Thomas,16,25.882352941176475,2.3529411764705888,264.0568569002475
